Cage Free Scrambled Eggs,1
Crispy Bacon,1
French Toast Sticks,1
Hard-boiled Cage Free Eggs,1
Natural BridgesTofu Scramble,0
Oatmeal Gluten-Free,0
Steamed Rice,1
Tator Tots,1
Chicken Noodle Soup,1
Oven Roasted Allergen Free Chicken Thigh,1
Steamed Rice,1
Steamed Seasonal Vegetables,0
Charro Beans,0
Cheese Sauce,1
Condiments,0
Jalapeno,0
Nachos Bar,0
Taqueria Chicken,0
Taqueria Ground Beef,1
BBQ Chicken,0
Baked Potatoes with Toppings,0
Oven Roasted Allergen Free Chicken Thigh,1
Sweet Chili Fried Tofu,1
Cheese Pizza,1
Pizza Special,0
Jasmine Rice,0
Steamed Seasonal Vegetables,0
