index,food,pref
0,Asian Flank Steak w/Teriyaki,1
1,Bar Pasta,1
2,Bar Taqueria,0
3,Blueberry Pancakes,1
4,Cage Free Scrambled Eggs,1
5,Cheese Pizza,1
6,Cheese Ravioli,0
7,Cheesy Garlic Bread Sticks,1
8,Chicken Apple Sausage,0
9,Chicken Breast Milanese,0
10,Chipotle Gardein Strips,0
11,Condiments,0
12,Corn Tortillas,0
13,Creamy Alfredo Sauce,0
14,Creamy Polenta,0
15,Fiesta Taquito Salad,0
16,Hard-boiled Cage Free Eggs,0
17,Marinara Sauce,1
18,Mexican Rice,0
19,Natural BridgesTofu Scramble,1
20,Oatmeal Gluten-Free,0
21,Oven Roasted Allergen Free Chicken Thigh,0
22,Oven Roasted Herbed Potatoes,1
23,Penne,1
24,Pizza Special,1
25,Pork Pozole,1
26,Roasted Seasonal Vegetables,0
27,Roasted Yukon Gold Potatoes,0
28,Rosemary Roasted Pork Loin,1
29,Steamed Rice,1
30,Steamed Seasonal Vegetables,0
31,Taqueria Chicken,1
32,Tuscan Vegetable Soup,0
