index,food,pref
0,Almond Allspice Coffecake,0
1,Almond Bear Claws,0
2,Apple Muffin Crunch,0
3,Apple Pancakes,1
4,Apple Upside-Down Coconut Cake,0
5,Apple Walnut Muffin,0
6,Apple and Peach Galette,0
7,Argentinian Roasted Chicken,0
8,Armanino Alfredo Sauce,0
9,Armenian Salad,0
10,Armenian Salad,0
11,Armenian Salad,0
12,Armenian Salad,0
13,Artichoke & Roasted Garlic Pizza,0
14,Artichoke Pesto Turkey Burger,0
15,Asiago Cheese Sauce,0
16,Asian Flank Steak w/Teriyaki,1
17,Asian Pork Spareribs,1
18,Atomic Cheese Sauce,0
19,Atomic Cheese Sauce,0
20,Atomic Cheese Sauce,0
21,Atomic Cheese Sauce,0
22,Authentic Spanish Rice,0
23,Avocado Bacon Cheddar Burger,0
24,Avocado Toast with Spicy Fried Egg,0
25,BAR Boardwalk Burgers,1
26,BAR Boardwalk Burgers,1
27,BAR Boardwalk Burgers,1
28,BAR Boardwalk Burgers,0
29,BAR Boardwalk Burgers,1
30,BAR Boardwalk Burgers,0
31,BAR Hot Dog,1
32,BAR Hot Dog,1
33,BAR Middle Eastern,0
34,BAR Middle Eastern,0
35,BAR Street Taco,0
36,BAR Wings,0
37,BAR Wings,0
38,BAR Wings,0
39,BAR Yakisoba Noodles,1
40,BAR Yakisoba Noodles,0
41,BBQ Beef Brisket,1
42,BBQ Ginger Soy Chicken,1
43,BBQ Ginger Soy Chicken,0
44,BBQ Shredded Pork,1
45,BBQ Shredded Pork,1
46,BBQ Shredded Pork,1
47,BBQ Shredded Pork,1
48,BBQ Tofu Chili Garlic,1
49,BBQ Tofu Chili Garlic,0
50,BBQ Tofu Chili Garlic,0
51,BBQ Wings,0
52,BBQ Wings,0
53,BBQ Wings,0
54,BLT Pizza,0
55,BLT Pizza,0
56,Bacon,1
57,Bacon,1
58,Bacon,1
59,Bacon,1
60,Bacon,1
61,Baja Fish Tacos,1
62,Baja Taco Bar,0
63,Baked Potatoes with Toppings,1
64,Baked Salmon with Avocado Chimichurri,0
65,Baked Sweet Potato,0
66,Baked Sweet Potato,0
67,Bakery Coconut Walnut Magic Bar,0
68,Banana Fritters,0
69,Banana Maple Walnut Muffin,0
70,Banana Walnut Muffin,0
71,Banana and Coconut Pancakes,1
72,Banana and Coconut Pancakes,1
73,Banh Mi Hot Dog,0
74,Bar Indian,0
75,Bar Indian,0
76,Bar Indian,0
77,Bar Indian,0
78,Bar Pasta,1
79,Bar Pasta,1
80,Bar Pasta,1
81,Bar Pasta,1
82,Bar Pasta,1
83,Bar Rice Bowl,0
84,Bar Rice Bowl,0
85,Bar Taqueria,0
86,Bar Taqueria,0
87,Bar Taqueria,0
88,Basmati Rice Pullao,0
89,Basmati Rice Pullao,0
90,Basmati Rice Pullao,0
91,Beef and Lamb Gyro,1
92,Beef and Lamb Gyro,0
93,Beef and Lamb Gyro,0
94,Belgian Waffles,1
95,Belgian Waffles,0
96,Belgian Waffles,0
97,Belgian Waffles,1
98,Belgian Waffles,0
99,Belgian Waffles,0
100,Belgian Waffles,1
101,Belgian Waffles,0
102,Belgian Waffles,0
103,Belgian Waffles,0
104,Belgian Waffles,0
105,Belgian Waffles,1
106,Bell Peppers,0
107,Bell Peppers,0
108,Bell Peppers,0
109,Bell Peppers,0
110,Bell Peppers,0
111,Bell Peppers,0
112,Bell Peppers,0
113,Bell Peppers,0
114,Bell Peppers,0
115,Bell Peppers,0
116,Bell Peppers,0
117,Bengan Aloo,0
118,Big Island Chicken Stir Fry,0
119,Big Island Tofu Stir Fry,0
120,Black Bean Corn Salsa,0
121,Black Beans,0
122,Black Beans,0
123,Black Beans,0
124,Black Beans,0
125,Black Beans,0
126,"Black Rice, Beet and Kale Salad",0
127,Blueberry Cheese Ring,1
128,Blueberry Coffee Cake Low Fat,0
129,Blueberry Muffin,0
130,Blueberry Muffin,0
131,Blueberry Muffin,0
132,Blueberry Pancakes,1
133,Blueberry Pancakes,1
134,Blueberry Pancakes,1
135,Blueberry Turnovers,0
136,Bob's Pancakes,0
137,Bob's Pancakes,1
138,Bob's Pancakes,1
139,Bolognese Sauce,0
140,Bombay Chicken Pizza,1
141,Boston Cream Cake,1
142,Bourbon Snicker Peanut Bar,0
143,Braised Kale with Crispy Shallots,0
144,Braised Kale with Crispy Shallots,0
145,Braised Kale with Crispy Shallots,0
146,Bread Bun,0
147,Bread Bun,0
148,Bread Bun,0
149,Bread Bun,0
150,Bread Pudding,0
151,Breakfast Enchiladas,0
152,Breakfast Enchiladas,0
153,Brown Rice Pilaf,0
154,Brownie M&M,0
155,Brownie M&M,0
156,Brownie M&M,0
157,Buffalo Chicken Pizza,1
158,Burger Bar #1 Condiments,1
159,Burger Bar #1 Condiments,0
160,Burger Bar #2 Condiments,0
161,Burger Beef,1
162,Burger Beef,1
163,Burger Beef,1
